State,Season,Soil_Type,Crop,Rainfall_mm,Temperature_C,Humidity_pct,pH,Area_ha,N_kg_ha,P_kg_ha,K_kg_ha,Fertilizer,Irrigation,Yield_kg_ha
Punjab,Zaid,Loamy,Jowar,553.2,26.6,45.0,7.81,1.83,76.8,74.1,60.5,NPK,Rain-fed,1972.0
Rajasthan,Zaid,Alluvial,Mustard,574.7,20.3,54.4,7.29,1.5,97.6,33.4,64.0,Compost,Flood,904.9
West Bengal,Rabi,Sandy,Barley,375.8,13.8,65.3,5.73,2.02,145.8,10.4,17.2,Potash,Rain-fed,2362.4
West Bengal,Zaid,Red,Rice,1103.6,29.0,84.4,7.48,14.0,52.5,44.3,25.5,Compost,Rain-fed,5745.2
Punjab,Zaid,Clay,Jowar,323.7,31.2,70.6,6.92,6.6,58.7,74.7,78.0,Organic,Flood,2668.1
Punjab,Rabi,Clay,Groundnut,627.6,29.3,72.8,6.19,2.85,110.5,33.8,60.7,DAP,Flood,1080.5
Haryana,Kharif,Alluvial,Mustard,415.8,21.1,88.7,7.35,5.04,148.7,10.0,23.0,NPK,Sprinkler,1536.5
Maharashtra,Kharif,Clay,Barley,584.1,13.8,80.3,5.51,9.61,58.5,26.4,12.9,Compost,Sprinkler,1494.5
Rajasthan,Kharif,Laterite,Barley,254.7,13.5,83.2,5.77,8.64,80.8,52.9,21.7,Compost,Rain-fed,4210.1
Punjab,Rabi,Alluvial,Jowar,328.2,27.0,82.9,6.55,1.63,140.6,79.6,22.2,Urea,Drip,1840.0
Uttar Pradesh,Rabi,Red,Wheat,495.6,23.9,74.3,7.74,1.18,131.8,42.0,37.4,Potash,Sprinkler,2866.0
Tamil Nadu,Zaid,Alluvial,Wheat,681.1,21.3,44.8,6.73,7.77,26.3,47.3,77.3,NPK,Drip,3116.5
Uttar Pradesh,Rabi,Sandy,Sugarcane,2487.2,24.9,71.4,7.49,11.1,115.4,46.5,70.8,Organic,Drip,76548.6
Andhra Pradesh,Zaid,Red,Barley,665.0,9.5,88.5,8.38,9.58,126.6,26.0,73.6,DAP,Sprinkler,1681.3
Haryana,Kharif,Clay,Wheat,666.1,17.1,73.9,8.44,12.82,21.2,67.3,19.0,DAP,Rain-fed,3384.7
Tamil Nadu,Kharif,Loamy,Wheat,420.9,18.9,83.4,6.02,15.53,41.6,64.0,59.6,Potash,Flood,3777.0
Maharashtra,Zaid,Black,Soybean,972.5,20.5,47.2,7.77,0.98,62.1,44.2,63.9,NPK,Drip,2238.8
Karnataka,Kharif,Clay,Cotton,798.3,29.2,78.2,6.16,2.11,105.1,29.1,76.6,Compost,Rain-fed,421.9
Andhra Pradesh,Zaid,Laterite,Sugarcane,2364.3,36.0,55.1,8.45,8.48,49.9,24.9,12.2,Potash,Sprinkler,100160.9
Tamil Nadu,Zaid,Sandy,Mustard,263.7,12.9,65.0,7.09,0.85,58.2,73.8,77.7,Organic,Rain-fed,971.2
Maharashtra,Kharif,Loamy,Barley,200.6,16.4,51.0,6.97,1.75,55.0,65.8,31.7,Compost,Drip,2978.0
Andhra Pradesh,Kharif,Alluvial,Soybean,775.0,26.9,42.2,6.94,2.55,148.3,20.0,44.9,Urea,Rain-fed,1793.3
Punjab,Rabi,Black,Cotton,742.2,34.4,69.4,8.15,2.11,66.5,32.5,78.4,Organic,Rain-fed,461.8
Uttar Pradesh,Zaid,Red,Jowar,400.5,23.4,41.7,8.31,1.51,141.6,76.3,53.8,Urea,Sprinkler,2190.7
Rajasthan,Rabi,Loamy,Groundnut,730.4,29.7,64.9,7.43,10.76,30.6,14.2,27.3,DAP,Sprinkler,1255.1
Karnataka,Kharif,Sandy,Groundnut,635.1,32.4,76.2,6.99,11.33,49.7,79.7,78.2,DAP,Flood,2317.1
Punjab,Zaid,Loamy,Jowar,542.0,24.9,65.4,8.1,14.68,75.3,34.2,36.0,Organic,Rain-fed,2285.4
Haryana,Rabi,Clay,Sugarcane,1593.3,32.5,76.0,8.48,6.04,69.9,42.6,68.5,Organic,Rain-fed,73161.8
Rajasthan,Rabi,Clay,Jowar,729.5,33.8,93.4,6.04,17.16,52.1,71.0,41.2,Organic,Drip,2148.3
Haryana,Zaid,Laterite,Soybean,991.3,23.1,76.1,6.48,15.58,50.8,26.4,71.9,Potash,Drip,1717.8
Punjab,Kharif,Alluvial,Jowar,569.3,30.7,53.7,7.35,14.28,69.3,52.4,35.0,Compost,Rain-fed,1855.7
Maharashtra,Rabi,Laterite,Mustard,434.1,22.2,94.3,5.87,5.01,103.2,25.7,22.6,DAP,Drip,1015.3
Maharashtra,Kharif,Black,Rice,1458.0,22.5,66.4,7.56,0.84,146.5,50.6,27.8,Urea,Sprinkler,3543.8
Rajasthan,Zaid,Black,Groundnut,415.0,26.3,48.9,6.07,14.75,50.5,77.4,27.9,Organic,Rain-fed,1810.0
Haryana,Kharif,Black,Groundnut,872.3,31.6,85.7,8.09,15.49,123.4,74.3,52.0,NPK,Rain-fed,2789.9
Andhra Pradesh,Zaid,Black,Barley,253.3,17.2,93.7,6.72,17.48,93.7,61.7,71.5,Urea,Drip,3043.0
Madhya Pradesh,Zaid,Black,Cotton,967.3,34.9,64.0,7.95,2.84,20.7,32.7,35.7,Compost,Flood,539.6
Andhra Pradesh,Rabi,Red,Barley,498.2,15.6,72.3,6.01,13.03,85.1,48.0,76.6,DAP,Sprinkler,4421.2
Haryana,Kharif,Sandy,Sugarcane,2220.6,25.5,53.5,6.93,8.19,113.4,76.9,11.3,Compost,Sprinkler,66044.6
Uttar Pradesh,Rabi,Loamy,Maize,542.2,31.1,49.1,7.35,10.7,140.8,47.3,50.7,Compost,Flood,2037.7
Madhya Pradesh,Rabi,Black,Wheat,450.0,23.7,50.0,7.54,4.04,112.2,17.5,49.7,Organic,Flood,2895.1
Rajasthan,Zaid,Sandy,Groundnut,807.9,27.2,92.3,7.3,16.47,49.7,24.8,52.8,Compost,Rain-fed,1698.0
Tamil Nadu,Rabi,Black,Jowar,840.0,26.6,80.3,8.05,13.59,119.7,20.5,39.7,Urea,Sprinkler,1141.1
Uttar Pradesh,Zaid,Sandy,Rice,1138.4,23.2,70.1,6.2,8.12,84.6,79.1,19.6,Organic,Drip,4792.7
Punjab,Zaid,Alluvial,Maize,809.9,24.2,94.5,5.89,2.53,95.2,29.2,15.6,DAP,Sprinkler,2020.4
Haryana,Kharif,Laterite,Barley,508.6,14.2,43.8,7.42,5.79,89.3,32.7,33.3,DAP,Flood,3471.0
Haryana,Zaid,Red,Groundnut,589.2,27.1,65.6,5.68,11.46,42.8,58.3,24.1,Potash,Drip,1871.5
Karnataka,Zaid,Red,Rice,1230.9,34.8,48.4,8.48,18.58,129.5,46.5,53.7,Potash,Drip,2299.6
Andhra Pradesh,Rabi,Laterite,Groundnut,832.3,30.5,43.5,5.85,4.93,69.5,34.2,26.7,Organic,Sprinkler,1701.7
Andhra Pradesh,Zaid,Red,Jowar,660.4,28.7,71.6,7.2,8.13,71.6,47.8,54.0,Potash,Flood,2233.1
Maharashtra,Rabi,Clay,Jowar,820.8,32.5,44.5,6.71,3.88,65.0,78.3,54.9,DAP,Flood,2614.1
Madhya Pradesh,Rabi,Red,Soybean,1097.6,23.2,48.1,6.6,1.83,37.6,77.4,48.5,DAP,Rain-fed,3026.5
Haryana,Zaid,Loamy,Cotton,807.7,23.7,48.4,5.68,15.72,27.6,79.6,14.0,DAP,Drip,867.0
Tamil Nadu,Zaid,Alluvial,Rice,1460.4,35.0,52.1,6.02,13.29,114.2,65.4,38.3,Compost,Flood,4025.9
Karnataka,Kharif,Loamy,Maize,757.4,23.8,61.3,8.39,5.35,74.4,65.3,50.8,Compost,Flood,4902.2
Haryana,Kharif,Sandy,Sugarcane,2251.5,32.8,92.8,6.96,2.64,79.1,69.1,16.9,Potash,Flood,83110.9
West Bengal,Zaid,Black,Cotton,1105.3,25.9,60.7,6.68,9.46,136.0,76.9,65.1,Organic,Sprinkler,523.1
West Bengal,Kharif,Laterite,Rice,1825.0,22.5,85.4,6.99,8.03,49.5,72.3,41.5,Compost,Rain-fed,5298.3
West Bengal,Kharif,Sandy,Sugarcane,2106.2,31.2,42.1,7.74,13.35,33.7,12.5,45.6,NPK,Rain-fed,84284.2
Uttar Pradesh,Zaid,Laterite,Cotton,1042.3,32.6,62.7,7.15,16.7,30.7,46.0,72.9,DAP,Sprinkler,915.4
Uttar Pradesh,Kharif,Black,Mustard,449.9,15.3,54.0,6.28,1.85,82.2,72.7,32.6,Urea,Sprinkler,860.2
Haryana,Zaid,Laterite,Sugarcane,2380.4,31.3,42.4,5.83,12.17,68.9,48.5,37.2,Urea,Drip,67376.6
Punjab,Kharif,Red,Cotton,668.5,23.9,55.7,7.95,17.3,139.5,27.7,62.9,Urea,Rain-fed,620.0
Andhra Pradesh,Zaid,Loamy,Groundnut,490.3,22.8,54.8,7.12,14.69,109.1,16.4,77.6,DAP,Drip,2108.3
Tamil Nadu,Kharif,Red,Groundnut,820.4,32.3,80.9,7.34,2.57,133.5,54.5,63.3,Organic,Sprinkler,1167.2
West Bengal,Zaid,Laterite,Rice,1715.9,33.5,62.1,7.9,4.48,115.3,53.1,23.2,DAP,Drip,3486.0
Rajasthan,Rabi,Black,Barley,477.1,8.1,85.8,5.53,15.12,108.2,62.9,68.9,Organic,Drip,2785.7
Rajasthan,Kharif,Red,Cotton,1005.4,36.2,76.5,5.51,3.98,41.7,22.7,37.1,DAP,Sprinkler,614.1
Rajasthan,Zaid,Sandy,Groundnut,640.5,31.0,78.7,5.66,9.99,98.3,11.6,32.5,Compost,Sprinkler,2021.1
Maharashtra,Rabi,Red,Jowar,724.6,32.3,58.1,6.8,2.23,97.8,61.5,79.9,Potash,Drip,2775.7
Andhra Pradesh,Zaid,Clay,Rice,1363.4,30.3,86.2,6.65,11.65,93.5,78.6,21.6,Organic,Drip,5313.8
Uttar Pradesh,Rabi,Sandy,Soybean,910.8,23.0,86.9,6.18,7.85,124.3,42.1,43.8,Organic,Rain-fed,1226.9
Punjab,Kharif,Red,Cotton,534.9,36.5,40.4,5.67,4.89,71.8,74.6,43.0,Potash,Rain-fed,321.7
Madhya Pradesh,Kharif,Black,Jowar,463.2,31.9,54.7,5.97,17.14,100.6,49.3,34.2,NPK,Rain-fed,1392.7
Maharashtra,Zaid,Red,Groundnut,443.2,25.3,88.5,6.68,16.64,84.3,78.6,20.1,Compost,Drip,2282.4
Madhya Pradesh,Kharif,Alluvial,Maize,1180.4,26.5,48.3,6.18,5.39,90.9,78.6,25.9,Compost,Flood,3463.4
Andhra Pradesh,Rabi,Black,Barley,595.8,15.7,65.2,6.95,3.73,130.5,56.8,42.4,DAP,Sprinkler,2957.2
Rajasthan,Zaid,Red,Mustard,514.8,11.6,42.9,7.86,4.43,90.8,63.1,62.8,Organic,Rain-fed,797.7
Madhya Pradesh,Rabi,Laterite,Mustard,551.1,22.3,81.3,7.17,11.27,138.2,47.7,44.8,Compost,Flood,924.6
West Bengal,Rabi,Red,Wheat,296.7,16.2,45.2,6.57,15.27,60.6,55.0,23.7,Organic,Drip,6086.0
Haryana,Zaid,Laterite,Wheat,329.0,19.7,73.7,6.59,18.0,85.9,51.9,12.3,NPK,Rain-fed,3856.6
Uttar Pradesh,Kharif,Loamy,Sugarcane,1660.5,32.6,84.2,7.02,19.36,35.9,60.8,32.6,Organic,Flood,129355.6
Tamil Nadu,Kharif,Red,Jowar,556.5,24.1,45.1,5.59,16.55,69.3,78.1,33.6,DAP,Sprinkler,1427.8
Rajasthan,Kharif,Red,Barley,378.9,14.9,46.2,5.76,14.52,137.7,61.8,23.4,NPK,Rain-fed,3397.2
Uttar Pradesh,Kharif,Sandy,Groundnut,710.5,26.9,46.9,7.53,6.84,42.7,69.9,25.9,Potash,Flood,2435.8
Tamil Nadu,Zaid,Clay,Cotton,1106.5,25.4,82.0,6.72,15.31,50.3,66.5,14.1,Potash,Rain-fed,863.1
Haryana,Rabi,Clay,Maize,1135.0,27.4,65.3,8.09,11.16,147.0,17.8,39.6,NPK,Flood,1947.2
Uttar Pradesh,Zaid,Loamy,Groundnut,463.7,31.9,81.5,7.91,0.85,92.7,54.0,47.3,Compost,Flood,1897.6
Maharashtra,Kharif,Sandy,Cotton,578.8,33.3,53.3,5.54,9.64,97.8,30.8,31.0,Urea,Sprinkler,761.9
Punjab,Rabi,Clay,Soybean,1135.4,21.9,63.6,6.3,15.89,105.6,27.7,25.4,Organic,Flood,1878.1
Uttar Pradesh,Kharif,Laterite,Sugarcane,1140.8,36.7,43.6,8.37,0.99,76.5,64.2,52.1,Potash,Sprinkler,130531.7
Maharashtra,Zaid,Red,Maize,811.7,29.0,68.2,5.81,8.0,104.8,76.5,52.0,Organic,Flood,4805.3
Madhya Pradesh,Rabi,Loamy,Rice,1195.9,27.3,59.9,6.92,1.39,81.1,41.5,43.1,NPK,Rain-fed,3946.9
Punjab,Rabi,Loamy,Cotton,644.9,30.3,42.7,8.0,16.96,80.2,40.7,25.3,Urea,Sprinkler,524.0
Punjab,Kharif,Sandy,Soybean,1159.1,24.0,85.0,7.09,17.66,84.2,59.2,79.5,Urea,Flood,1088.5
Punjab,Kharif,Sandy,Maize,787.7,30.7,79.5,8.36,14.57,20.3,60.2,68.1,Urea,Flood,1632.9
Punjab,Zaid,Loamy,Cotton,980.6,23.8,76.4,5.78,12.13,29.2,15.6,34.8,Potash,Drip,1060.4
Haryana,Zaid,Loamy,Wheat,694.0,18.4,90.2,7.34,17.54,35.7,73.2,14.7,Potash,Sprinkler,4512.2
Uttar Pradesh,Zaid,Laterite,Mustard,528.0,19.7,66.7,7.23,1.35,92.6,34.0,61.0,Organic,Sprinkler,1663.7
Tamil Nadu,Rabi,Alluvial,Wheat,451.9,11.1,83.4,6.84,16.07,131.5,74.2,40.2,NPK,Flood,3683.0
Punjab,Zaid,Laterite,Jowar,522.0,22.4,68.1,6.0,13.09,119.0,76.3,33.8,Organic,Rain-fed,1786.2
Maharashtra,Rabi,Black,Rice,1011.4,33.0,65.0,7.56,3.24,23.6,45.4,77.5,Organic,Sprinkler,3101.7
Haryana,Rabi,Red,Soybean,1155.4,24.1,81.6,6.88,6.14,35.1,76.9,32.0,Organic,Sprinkler,2696.5
Maharashtra,Kharif,Loamy,Rice,997.0,29.9,61.2,6.52,11.06,92.0,47.9,63.3,Organic,Drip,5518.3
Uttar Pradesh,Rabi,Sandy,Maize,749.3,29.6,43.2,6.53,5.77,92.5,34.3,50.6,Potash,Flood,2587.5
Haryana,Rabi,Laterite,Cotton,781.2,37.9,71.3,7.36,4.43,25.1,43.3,48.0,Organic,Rain-fed,459.3
Andhra Pradesh,Kharif,Clay,Sugarcane,1898.7,28.9,81.0,7.15,1.63,134.0,76.1,20.4,Potash,Drip,95093.2
Punjab,Rabi,Loamy,Soybean,953.2,23.8,81.9,6.66,10.47,95.0,70.6,78.7,Urea,Flood,1678.1
Uttar Pradesh,Zaid,Clay,Maize,921.5,26.3,46.0,8.06,9.06,136.1,14.4,71.8,Urea,Drip,4536.6
Andhra Pradesh,Zaid,Sandy,Groundnut,409.6,28.7,88.0,7.08,12.83,126.6,33.3,61.3,Organic,Rain-fed,1800.7
West Bengal,Zaid,Alluvial,Maize,1198.5,27.5,40.1,5.63,7.16,29.0,10.4,75.6,Organic,Drip,6058.7
Haryana,Rabi,Alluvial,Maize,929.5,19.2,55.4,7.56,0.98,91.4,54.2,50.4,NPK,Flood,5299.9
Karnataka,Rabi,Alluvial,Maize,865.8,22.2,83.7,7.62,1.48,72.4,30.7,26.3,DAP,Sprinkler,3265.0
Tamil Nadu,Kharif,Alluvial,Groundnut,638.2,25.2,73.2,6.57,13.13,135.5,45.2,41.5,Compost,Flood,1960.9
Haryana,Rabi,Black,Mustard,421.9,18.9,85.2,7.91,11.27,139.2,60.4,38.1,Potash,Drip,948.8
Rajasthan,Rabi,Black,Rice,1249.3,22.0,55.2,7.62,1.72,20.5,27.3,61.9,DAP,Rain-fed,3338.1
Haryana,Rabi,Red,Barley,380.1,11.8,89.1,6.8,18.24,31.6,58.1,44.6,Potash,Flood,2777.0
Tamil Nadu,Kharif,Red,Jowar,383.5,25.3,55.3,5.89,13.68,55.0,43.3,54.4,Urea,Sprinkler,2614.8
Madhya Pradesh,Zaid,Laterite,Rice,1296.1,34.4,65.2,6.13,7.69,26.8,63.7,39.2,Potash,Drip,5267.1
Punjab,Kharif,Loamy,Barley,634.9,18.2,81.5,5.61,8.2,115.8,78.2,13.7,Potash,Sprinkler,3447.0
Uttar Pradesh,Kharif,Laterite,Soybean,719.5,28.9,43.2,5.83,10.56,128.6,11.0,36.5,Potash,Flood,1426.4
Madhya Pradesh,Rabi,Sandy,Soybean,918.6,26.0,68.5,7.53,6.58,120.5,46.5,78.3,Potash,Rain-fed,923.7
Haryana,Kharif,Alluvial,Sugarcane,1114.6,29.4,54.6,5.55,6.22,87.3,34.4,36.0,Urea,Flood,55199.7
West Bengal,Kharif,Red,Groundnut,839.6,31.5,73.3,6.37,4.54,136.9,59.7,75.6,NPK,Rain-fed,2026.9
Karnataka,Kharif,Alluvial,Groundnut,735.8,30.2,69.2,7.45,13.07,67.5,25.8,23.7,Potash,Sprinkler,1219.3
Punjab,Kharif,Laterite,Maize,602.9,29.4,92.1,6.51,14.64,27.9,58.3,58.3,Urea,Flood,6445.6
Punjab,Rabi,Loamy,Cotton,941.6,29.2,56.6,7.78,7.41,145.1,53.5,75.0,DAP,Drip,882.0
Punjab,Kharif,Laterite,Maize,616.0,24.2,94.0,7.88,17.15,144.9,23.8,76.6,Potash,Rain-fed,6335.7
Madhya Pradesh,Rabi,Sandy,Jowar,613.5,24.8,72.6,5.72,12.64,44.7,65.5,73.6,DAP,Sprinkler,2730.1
West Bengal,Rabi,Black,Wheat,733.5,15.5,79.5,6.24,12.99,144.8,63.5,69.9,Urea,Flood,4661.7
Rajasthan,Zaid,Laterite,Sugarcane,1013.6,29.0,74.9,6.17,6.77,114.8,16.7,40.0,DAP,Flood,68471.9
Haryana,Zaid,Clay,Jowar,840.8,24.0,67.2,7.04,9.89,31.8,12.3,14.0,NPK,Rain-fed,1829.2
Maharashtra,Kharif,Laterite,Jowar,514.3,32.2,59.7,7.47,5.19,139.4,17.1,45.4,DAP,Sprinkler,1347.2
West Bengal,Zaid,Red,Barley,675.2,16.1,63.5,6.48,16.87,75.9,73.3,69.2,Organic,Rain-fed,2732.7
Maharashtra,Kharif,Black,Cotton,1076.2,36.2,72.5,6.06,6.97,102.7,35.5,30.7,Compost,Rain-fed,871.3
